postcode,original_journey_time,new_journey_time,change_in_journey_time,lng,lat
BR1 2YT,56,56,0,0.017577785195,51.4082260225
BR1 4NX,72,72,0,3.16019595732e-05,51.4160537962
BR1 4TB,75,75,0,-0.000905620991069,51.4179762622
BR1 5EF,55,55,0,0.01436496654,51.428038522
BR1 5HB,64,64,0,0.00677767110606,51.4311812699
BR1 5QB,75,75,0,-0.00250039415774,51.4285699872
BR1 9WH,56,56,0,0.017577785195,51.4082260225
BR2 0XZ,70,70,0,0.0119799973404,51.4015776438
BR2 7AE,74,74,0,0.02734245364,51.3679312724
BR2 7BE,68,68,0,0.0190935980361,51.3750612177
BR2 7DP,71,71,0,0.00687478175147,51.372969
BR2 7HX,68,68,0,0.0030849424837,51.3799583677
BR3 1LJ,55,55,0,-0.0364259590873,51.4147099112
BR3 1RL,51,51,0,-0.0269945785673,51.4226629807
BR3 3DT,60,60,0,-0.0263200289318,51.3865635589
BR3 3QA,66,66,0,-0.0364404875548,51.4006094864
BR3 9JG,67,67,0,-0.0481514454479,51.3963627165
BR4 0JN,66,66,0,-0.017924250872,51.3779685644
BR4 9EQ,75,75,0,0.00409077788452,51.3621892373
BR4 9LT,77,77,0,-0.016249640749,51.3698376685
BR5 3HB,73,73,0,0.11516125098,51.3964959921
BR5 4ED,77,77,0,0.116838961972,51.3814563956
BR6 0UN,55,55,0,0.101146418806,51.3761362743
BR6 1FB,53,53,0,0.0991376504091,51.3768287746
BR6 6DT,66,66,0,0.0935200228655,51.3525942699
BR6 8LY,69,69,0,0.0582241144602,51.3722669073
BR7 6BX,75,75,0,0.0718319297002,51.4206517485
BR7 6HF,79,79,0,0.0896632377446,51.4180419492
BR8 7QQ,109,109,0,0.151150204277,51.4021448509
BR8 7QW,99,99,0,0.145859244387,51.3996878574
CR0 0FD,78,78,0,-0.011320720346,51.3506262683
CR0 2FR,65,65,0,-0.0990991412366,51.3796824803
CR0 2SE,62,62,0,-0.106003016053,51.3840568441
CR0 4EF,71,71,0,-0.114361312246,51.3625191825
CR0 4PE,70,70,0,-0.125663636297,51.367862393
CR0 4YJ,70,70,0,-0.12655430109,51.3791265269
CR0 5LT,70,70,0,-0.0807058847571,51.3710822833
CR0 5TG,75,75,0,-0.0670325969151,51.3713161047
CR0 7EQ,68,68,0,-0.0631485719887,51.3802807104
CR0 9DZ,81,81,0,-0.0202210608539,51.3547069296
CR0 9JY,89,89,0,-0.038710728497,51.3471852137
CR2 0AQ,89,89,0,-0.0745345210044,51.3452346385
CR2 6LN,66,66,0,-0.10298783399,51.3638283514
CR2 6YG,61,61,0,-0.100851621021,51.3487938009
CR2 7HB,71,71,0,-0.0879916188292,51.3613903085
CR2 8NN,85,85,0,-0.051132359823,51.3437954203
CR4 1DJ,43,43,0,-0.150967856979,51.4044600098
CR4 4NU,67,67,0,-0.16554681031,51.4026657968
CR5 9AZ,64,64,0,-0.140840843233,51.3198042283
CR7 7EP,67,67,0,-0.104583764262,51.392666904
CR7 7JA,56,56,0,-0.101784488163,51.3981341218
CR7 7NN,62,62,0,-0.112735706746,51.4024026904
CR7 8ZZ,77,77,0,-0.0936920056555,51.4084792568
CR8 2AL,50,50,0,-0.113182771668,51.3370147144
CR8 2AS,57,57,0,-0.110149966675,51.3409406259
CR8 2DH,52,52,0,-0.115250588485,51.3373537633
CR8 3AW,62,62,0,-0.122628253683,51.3349362933
CR8 5AG,65,65,0,-0.107262939246,51.3294641703
CR8 5NB,65,65,0,-0.108152109518,51.328786092
CR9 1QH,62,62,0,-0.0990083079929,51.3721630729
DA144LF,68,68,0,0.110742490991,51.4294718841
DA146DJ,68,68,0,0.101363366889,51.4266637766
DA146PP,69,69,0,0.0896357560793,51.4278447086
DA146QH,67,67,0,0.0848583646954,51.4297103874
DA157HP,67,67,0,0.0964302326529,51.4301424546
DA157JT,61,61,0,0.0993299797037,51.4315743774
DA157LF,68,68,0,0.0942741143272,51.4326990165
DA158RU,75,75,0,0.0938757731677,51.4523016342
DA159AG,62,62,0,0.107782185625,51.4357932271
DA175LR,69,69,0,0.141967407655,51.4825032111
DA5 3BN,78,78,0,0.125179904725,51.4439054234
DA5 3EJ,71,71,0,0.116904532432,51.442022779
DA5 3NW,69,69,0,0.140141421254,51.441339987
DA6 8NS,76,76,0,0.135810938679,51.4558526382
DA6 8PG,78,78,0,0.136391428179,51.4544121847
DA7 4SX,75,75,0,0.13150198504,51.471192035
